97,133,126,156,1.000000
97,133,126,156,0.995803
97,133,126,156,0.948272
97,133,126,156,0.982959
97,133,126,156,0.993017
97,133,126,156,0.991932
97,133,126,156,0.991790
97,133,126,156,0.978848
97,133,126,156,0.956049
97,133,126,156,0.926874
97,133,126,156,0.913963
97,133,126,156,0.899762
97,133,126,156,0.909114
97,133,126,156,0.785039
98,130,127,153,0.793932
99,127,128,150,0.796517
101,119,130,142,0.879519
102,115,131,138,0.913452
104,108,133,131,0.922136
105,106,134,129,0.911471
106,102,135,125,0.908402
106,101,135,124,0.890618
107,99,136,122,0.895341
107,98,136,121,0.844435
107,97,136,120,0.778760
107,97,136,120,0.721107
107,98,136,121,0.792073
106,101,135,124,0.815145
105,103,134,126,0.858832
103,107,132,130,0.924986
100,110,130,133,0.835139
99,112,129,136,0.932234
96,115,126,139,0.917263
95,116,125,140,0.932979
94,117,124,141,0.943638
91,121,122,145,0.947868
90,123,121,147,0.939485
90,132,120,156,0.926299
91,132,121,156,0.830290
92,132,122,156,0.951021
93,131,123,155,0.963139
93,128,123,152,0.963762
94,126,124,150,0.937507
96,122,126,146,0.844867
97,120,127,144,0.764746
100,116,130,140,0.735789
101,114,131,138,0.738460
103,109,133,133,0.693059
103,106,133,130,0.640534
103,103,133,127,0.658978
103,100,133,124,0.685269
103,94,133,118,0.587214
103,92,133,116,0.609897
104,88,135,113,0.512193
105,87,136,112,0.551021
106,85,137,110,0.465737
106,84,137,109,0.461498
106,83,137,108,0.451323
107,83,138,108,0.437941
108,83,139,108,0.447924
108,84,139,109,0.468433
108,85,139,110,0.482256
107,88,138,113,0.555208
107,90,138,115,0.623972
107,92,138,117,0.828148
107,94,138,119,0.850251
106,99,136,123,0.846666
105,102,135,126,0.843728
101,107,131,131,0.856803
96,115,125,138,0.817783
93,120,122,143,0.865364
92,122,121,145,0.926623
90,126,119,149,0.895141
89,128,118,151,0.817393
88,130,117,153,0.790164
88,131,117,154,0.851137
88,132,117,155,0.886687
88,132,117,155,0.849280
88,132,117,155,0.847743
89,132,118,155,0.884967
90,130,119,153,0.924526
91,127,120,150,0.905113
92,124,121,147,0.847986
93,122,122,145,0.852545
94,120,123,143,0.891777
96,115,126,139,0.908540
96,112,126,136,0.871447
97,107,128,132,0.947975
97,105,128,130,0.939939
97,103,128,128,0.907412
97,99,129,125,0.888263
97,98,129,124,0.796871
98,97,129,122,0.819330
97,96,129,122,0.866103
96,96,128,122,0.833565
94,97,125,122,0.810890
92,99,123,124,0.754946
92,104,123,129,0.726125
93,106,124,131,0.770317
93,108,124,133,0.768048
94,109,125,134,0.709254
95,109,126,134,0.718980
96,108,127,133,0.791649
98,106,128,130,0.826706
99,105,129,129,0.838285
101,104,130,128,0.809333
102,104,131,128,0.793042
103,105,133,129,0.846795
104,107,134,131,0.871642
104,108,134,132,0.851081
104,110,134,134,0.847398
104,112,134,136,0.808493
105,116,135,140,0.814447
105,118,135,142,0.811362
106,123,136,147,0.767287
107,126,137,150,0.757190
108,129,138,153,0.823388
108,133,138,157,0.777567
108,141,138,165,0.761755
108,144,138,168,0.773653
107,148,138,172,0.780218
106,149,137,173,0.848506
104,152,135,176,0.845245
103,154,134,178,0.836739
102,156,133,180,0.821574
101,162,132,186,0.795844
101,165,132,189,0.794528
100,171,132,196,0.792753
101,172,133,197,0.781377
102,172,133,196,0.798475
103,170,134,194,0.799079
104,168,135,192,0.829104
104,165,135,189,0.841940
107,158,137,182,0.851515
107,154,137,178,0.835423
107,144,136,168,0.860981
107,139,136,163,0.794645
108,130,137,154,0.839198
108,126,137,150,0.840030
108,123,137,147,0.824673
108,119,137,143,0.790794
108,118,137,142,0.807662
108,120,137,144,0.787684
108,122,137,146,0.793173
108,125,137,149,0.752650
109,133,138,157,0.753726
109,137,139,161,0.723333
109,141,139,165,0.733066
110,147,140,171,0.712190
109,148,139,172,0.699711
107,149,137,173,0.739500
107,148,137,172,0.709363
106,146,136,170,0.763993
106,145,136,169,0.808659
105,144,135,168,0.799963
101,141,132,166,0.834415
99,140,130,165,0.781146
96,139,127,164,0.767316
95,139,126,164,0.758606
94,139,125,164,0.782023
93,140,123,165,0.720197
93,141,123,166,0.751952
93,142,123,167,0.763341
92,144,122,169,0.738653
91,145,121,170,0.716820
90,146,119,171,0.709008
89,146,118,171,0.684727
87,144,115,168,0.616395
86,141,114,165,0.631063
85,138,113,162,0.594551
84,131,112,155,0.577295
84,127,112,151,0.579389
83,121,110,145,0.576271
83,119,110,142,0.562925
83,117,110,140,0.584213
82,116,109,138,0.574135
82,116,109,138,0.605687
81,117,108,139,0.606028
83,120,111,142,0.620772
84,122,112,144,0.614133
86,126,115,149,0.632807
87,129,116,152,0.626351
89,135,119,159,0.670646
90,138,120,162,0.711514
93,141,124,166,0.722712
95,141,126,165,0.783563
97,139,127,163,0.754189
101,132,131,156,0.673853
103,127,133,151,0.639650
105,121,135,145,0.677909
109,109,139,133,0.677122
111,103,141,127,0.710902
115,93,145,117,0.682863
117,88,147,112,0.825763
119,83,149,107,0.669885
124,77,154,101,0.614617
126,76,156,100,0.600675
126,82,157,106,0.630962
125,88,156,112,0.731266
129,103,158,126,0.652810
128,112,157,135,0.637657
126,121,155,144,0.652933
118,127,160,160,0.751158
118,135,157,167,0.779120
115,140,154,172,0.802180
114,145,152,176,0.785456
114,148,151,178,0.793069
112,150,149,179,0.820450
111,149,148,178,0.796079
111,148,148,177,0.747458
112,146,149,175,0.775411
112,145,150,175,0.797971
111,146,149,176,0.775304
110,146,148,176,0.771990
108,145,147,176,0.749467
108,144,148,175,0.760425
108,143,147,174,0.745618
112,137,152,169,0.697890
116,131,156,163,0.708546
122,124,161,155,0.702159
134,108,172,138,0.721825
139,100,177,130,0.695723
145,87,183,117,0.628223
145,82,182,111,0.582963
144,79,181,108,0.605052
138,80,176,109,0.668013
135,84,173,113,0.703972
130,96,167,124,0.731779
128,104,164,132,0.723194
124,120,158,146,0.742781
123,128,155,152,0.703654
120,141,150,164,0.764422
118,146,148,169,0.758218
116,150,146,173,0.787347
112,156,142,179,0.819563
110,158,140,182,0.809843
106,159,136,183,0.811383
104,159,134,183,0.841359
98,160,129,184,0.797741
95,161,126,185,0.750779
90,163,121,187,0.768482
88,164,119,188,0.775424
83,166,114,190,0.729459
82,168,112,192,0.739296
80,171,109,194,0.690430
80,171,109,194,0.665190
79,171,108,194,0.650893
80,170,109,193,0.634928
82,167,111,190,0.625619
83,165,112,188,0.633076
84,161,114,185,0.637120
85,158,116,182,0.635974
89,153,120,177,0.645572
92,149,123,174,0.640272
99,140,131,166,0.693555
102,135,135,161,0.657394
105,129,137,155,0.633606
111,118,144,145,0.619042
113,114,145,140,0.602572
114,109,146,135,0.558906
115,102,147,128,0.559541
115,100,146,125,0.549460
113,101,144,126,0.514395
112,104,143,129,0.501371
112,109,143,134,0.522991
118,118,149,142,0.506287
122,121,153,145,0.543673
131,120,161,144,0.540244
142,114,172,138,0.580052
152,107,182,131,0.624888
161,102,191,126,0.653067
164,100,194,124,0.668147
163,99,193,123,0.679686
155,103,186,128,0.718134
147,110,178,135,0.677182
143,113,175,139,0.663721
143,109,175,135,0.639528
145,98,177,124,0.598881
148,86,180,112,0.574527
153,79,184,104,0.571138
155,80,186,105,0.547484
154,83,186,109,0.530028
152,89,184,115,0.616334
148,104,181,131,0.594124
145,112,177,138,0.595633
138,129,170,155,0.546874
130,144,163,170,0.574421
127,150,159,176,0.602528
123,156,155,182,0.593533
124,157,156,183,0.608960
125,157,157,183,0.646107
130,154,162,180,0.664242
136,146,168,172,0.639401
144,132,176,158,0.647551
149,124,180,149,0.668425
158,107,189,132,0.628323
141,93,191,133,0.726251
144,85,194,125,0.690826
150,70,201,110,0.667217
153,64,204,104,0.657139
155,59,206,99,0.645159
180,55,207,76,0.607895
180,53,207,74,0.611662
179,53,206,74,0.596788
177,55,204,76,0.586619
175,59,202,80,0.540367
172,65,199,86,0.557617
169,73,196,94,0.530827
166,82,193,103,0.482539
163,91,191,113,0.583970
160,101,189,124,0.520483
157,110,186,133,0.544479
153,119,182,142,0.542856
150,127,179,150,0.530554
146,134,175,157,0.531073
139,145,168,168,0.525769
136,148,165,171,0.531715
132,149,161,172,0.548446
132,147,161,170,0.548599
133,142,162,165,0.574654
133,140,162,163,0.572614
133,138,162,161,0.568775
135,132,164,155,0.568071
137,128,166,151,0.589316
142,120,171,143,0.602244
144,115,173,138,0.593970
147,101,176,124,0.500168
147,93,176,116,0.464360
146,86,175,109,0.482012
143,80,172,103,0.474093
138,76,167,99,0.493670
130,73,160,97,0.600400
120,71,151,96,0.620349
108,69,141,96,0.631039
99,67,134,95,0.644544
92,64,131,95,0.676565
93,63,132,94,0.656350
99,66,137,97,0.589501
109,72,145,101,0.594900
121,80,155,108,0.584545
133,88,166,115,0.452562
145,95,177,121,0.388903
155,102,186,128,0.423381
162,108,192,134,0.484300
165,114,195,139,0.527971
167,119,196,143,0.582060
167,123,195,145,0.625362
165,126,192,147,0.607055
162,128,188,148,0.621597
156,128,182,149,0.618578
148,127,174,148,0.598317
139,124,164,144,0.594371
130,120,154,139,0.496115
122,115,146,134,0.422212
116,109,140,128,0.395258
112,103,136,122,0.444535
110,97,134,116,0.447041
109,91,134,110,0.452416
110,85,136,105,0.576840
113,80,140,101,0.522906
115,82,142,103,0.528715
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
132,168,167,196,0.549854
132,175,169,204,0.545124
132,178,169,207,0.555942
131,179,168,208,0.561726
130,178,168,208,0.551844
129,175,167,205,0.573440
128,172,166,202,0.561704
127,168,165,198,0.574421
127,163,164,192,0.614193
127,158,163,187,0.614291
127,152,162,180,0.589405
127,145,162,173,0.562550
127,137,162,165,0.502352
127,128,162,156,0.458334
126,118,161,146,0.423676
126,109,160,136,0.449052
126,102,158,128,0.565278
126,99,157,124,0.550013
126,101,157,126,0.509298
125,107,157,133,0.435923
125,115,157,141,0.424932
126,122,158,148,0.457470
126,126,158,152,0.493164
127,128,158,153,0.478918
126,128,157,153,0.544232
125,125,156,150,0.567187
124,123,155,148,0.568284
124,120,155,145,0.582906
123,119,154,143,0.645600
122,119,152,143,0.643666
121,121,151,145,0.600180
121,124,151,148,0.604940
121,129,151,153,0.582966
121,134,151,158,0.565033
122,142,152,166,0.613095
120,142,150,166,0.624517
116,138,145,161,0.538312
111,132,141,156,0.608573
110,128,141,152,0.654809
114,129,145,153,0.609066
117,131,148,155,0.601744
117,133,148,158,0.590448
115,134,146,159,0.590557
113,136,144,161,0.574843
113,138,144,163,0.608002
114,141,145,166,0.612327
115,145,146,170,0.591372
116,149,147,174,0.593962
115,151,146,176,0.626213
114,151,145,176,0.625162
113,150,144,175,0.629813
113,148,144,172,0.618730
115,146,146,170,0.632546
117,142,148,166,0.603974
118,137,149,161,0.525837
117,122,148,146,0.521145
117,115,148,139,0.551643
